Serie,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
a,-1,0.0544,0.0354,0.0353,-0.0056,0.0149,-0.0027,-0.0023,-0.0013,-0.0017,0.0098,-0.0016,0.0065,-0.0042,0.0044,-0.001,0.0101,-0.0028,0.0027,-0.0018,-0.0022,0.0044,0.0057,0.0018,0.0038,-0.0028,-0.0013,-0.0018,-0.0024,0,-0.0025,0.0016,0.0002,-0.0012,-0.0008,-0.0021,-0.0002,0.0012,0.001,0.0011,0.0001,0.0002,0.0013,-0.0002,0.0014,-0.0008,0,0.0008,0.001,0.0001,0.0006,0.001,0.0003,0.0015,-0.0005,0.0004,-0.0007,-0.0004,-0.0005,-0.001,
b,0,0.0873,-0.028,0.0151,-0.051,-0.0321,-0.0406,-0.0184,-0.0153,-0.0012,-0.0033,0.0079,-0.0003,0.0005,-0.0034,-0.0083,-0.0013,0.0012,-0.0008,0.0028,0.0055,-0.0017,0.0044,0.0042,0.0012,0.0016,0.0012,-0.0055,0.0007,0.0007,0.0017,0.0013,0.0003,0.0011,-0.0022,-0.0007,-0.0031,-0.0008,0,0.0007,0.0009,-0.001,-0.0014,-0.0004,-0.0016,0.001,-0.0018,0.001,-0.0015,0.0005,-0.001,-0.0005,-0.0009,-0.0008,-0.0014,-0.0011,-0.0011,-0.0011,-0.0004,-0.0002,
c,0,0.085,0.0015,-0.0354,-0.0132,-0.0019,0.0003,-0.0046,0.0018,0.0057,-0.0081,0.0028,0.0049,-0.0066,-0.0082,0.0027,-0.0022,0,0.0001,0.0001,0.0054,-0.0002,-0.0053,0.0064,0.0029,-0.0048,-0.0013,-0.0013,0.0011,0.005,-0.0014,-0.0012,-0.0004,-0.001,0,0.0006,0.0011,0.0002,0.002,-0.0007,-0.0011,-0.0003,0,0.0016,-0.0009,-0.0005,0.0001,-0.0003,-0.0003,0,0.001,-0.0002,0.0002,0.0004,0.0005,0.0001,0.0007,-0.0001,-0.0004,-0.0001,
d,-0.9651,0.0467,0.0294,-0.0118,0.0089,0.005,0.0074,0.0043,0.0015,-0.0006,-0.0032,0.0083,0.0059,-0.003,-0.0017,-0.0028,-0.0059,0.0033,0.0037,-0.0048,0.0009,0.0008,-0.0047,0.0017,0.0023,-0.0002,-0.0018,0,0.0025,-0.0022,-0.0026,0.0008,-0.0013,0.0021,0.002,-0.0003,-0.0011,-0.0009,-0.0001,-0.0005,0.0004,0.0012,0.0005,0.0005,0.002,-0.0003,0.0004,0.0003,0.0013,0.0001,0.0014,0.0001,0.0007,0.0006,0.0005,0.0001,-0.0007,0.0004,0.0004,-0.0002,
