redondez,esfericidad,finalCell3,finalCell4,finalCell5,finalCell6,finalCell7,finalCell8,finalCell9,finalCell10,finalCell11,finalCell12,finalCell13,finalCell14,finalCell15,finalCell16,finalCell17,finalCell18,finalCell19,finalCell20,finalCell21,finalCell22,finalCell23,finalCell24,finalCell25,finalCell26,finalCell27,finalCell28,finalCell29,finalCell30,finalCell31,finalCell32,finalCell33,finalCell34,finalCell35,finalCell36,finalCell37,finalCell38,finalCell39,finalCell40,finalCell41,finalCell42
0.97,0.942614019,0.11946246,0.721206452,0.84302217,0.971372455,0.996410531,0.974419353,0.769609531,0.994346867,0.999771044,0.995092289,0.9170246,0.944503264,0.97699276,0.807809366,0.955436787,0.663977311,0.995199049,0.611633453,0.707638304,0.734175653,0.757345522,0.917040268,0.999989553,0.915185941,0.985264712,0.982456466,0.748145088,0.913520836,0.760177438,0.98253344,0.981676897,0.981245105,0.998895189,0.860730279,0.999827205,0.617600581,0.995827186,0.990293178,0.970100032,0.734802611
0.87461549,0.797374487,0.525356553,0.942733304,0.899533509,0.977215195,0.999860105,0.906516276,0.865846527,0.978643767,0.970484151,0.99620453,0.984531668,0.99925356,0.998503833,0.964415143,0.973957303,0.9747639,0.765669103,0.897599092,0.999960491,0.538883301,0.969294926,0.942183303,0.970370754,0.895098364,0.532959364,0.999999851,0.945645498,0.762657208,0.939087621,0.970229478,0.927540849,0.971785298,0.964542185,0.996670672,0.993198308,0.834391185,0.991348977,0.993098233,0.742221907,0.978240245
0.223703772,0.629602253,0.663060383,0.961463299,0.923639242,0.818482478,0.905341693,0.997535583,0.999813487,0.971764055,0.98233759,0.988419651,0.711649638,0.490192372,0.938730659,0.871749914,0.998262611,0.992944773,0.965175865,0.999684936,0.998337397,0.932890592,0.942602306,0.754319491,0.799339486,0.99998849,0.999982355,0.915556811,0.822256213,0.935321317,0.998682749,0.99782318,0.955203107,0.998994843,0.957355164,0.55707078,0.953003628,0.909486059,0.795284824,0.962786001,0.936255073,0.807488375
0.18505016,0.634093463,0.515325171,0.95427719,0.999744768,0.97125263,0.97350905,0.982862041,0.998698644,0.875298321,0.9519225,0.910340356,0.999830648,0.933571434,0.908085253,0.969080344,0.963422002,0.351386555,0.984087789,0.898382891,0.972684052,0.934127196,0.691895567,0.979160464,0.696495428,0.885822671,0.998391221,0.844613938,0.937758497,0.834196869,0.944049974,0.999990703,0.735921136,0.899211348,0.936580345,0.788488426,0.990820738,0.997172111,0.896335274,0.999545214,0.993311599,0.977874755
0.231901497,0.590302169,0.689112441,0.754839513,0.995148307,0.893233325,0.850509406,0.991979989,0.817819202,0.960880799,0.871923439,0.513631852,0.935106904,0.843288445,0.844537132,0.987187791,0.961320475,0.714941438,0.89519306,0.836278728,0.886365399,0.941170278,0.958786559,0.995521989,0.999228335,0.969750739,0.99980035,0.998655992,0.631761743,0.975663136,0.980016404,0.995283103,0.990132074,0.831966663,0.991413077,0.763635351,0.996651746,0.828904331,0.999856457,0.990777051,0.971602987,0.910418494
0.304023951,0.576423407,0.749750894,0.899708943,0.883658824,0.843169421,0.867288206,0.966661835,0.969527974,0.844240821,0.943333422,0.672247896,0.979416937,0.988098812,0.895967814,0.990860849,0.940363632,0.9998129,0.977816307,0.957246808,0.999782975,0.970880221,0.99912022,0.874100482,0.992844159,0.95641363,0.691283638,0.979839737,0.999733014,0.73235484,0.988459246,0.912230109,0.98799808,0.997264689,0.905735566,0.789153143,0.983167523,0.947655959,0.990786437,0.94986389,0.971967245,0.999996862
0.316111505,0.690331876,0.607434793,0.866088183,0.992214511,0.813614293,0.697579366,0.969501243,0.995632834,0.962051132,0.714392671,0.987042104,0.988871545,0.999969488,0.729777875,0.9966154,0.792747515,0.950306303,0.995634718,0.673956845,0.959131486,0.999331609,0.978902421,0.991987215,0.999991587,0.934468766,0.875837904,0.966235659,0.937339627,0.699340329,0.956130113,0.998928463,0.932208267,0.813894327,0.940150568,0.961096146,0.994402447,0.80802538,0.975396416,0.733188045,0.998939624,0.839118414
0.334675074,0.700717866,0.556765077,0.91548297,0.949890137,0.628882994,0.995650462,0.996888573,0.959172728,0.996829617,0.853845597,0.834358365,0.980290275,0.889761196,0.819032447,0.98732632,0.992959359,0.989005324,0.960609991,0.612060211,0.879961081,0.946137145,0.888712313,0.942454497,0.979401946,0.843642657,0.999866517,0.769101131,0.993117533,0.99475925,0.767669465,0.99963417,0.987841754,0.992628426,0.981249193,0.975839267,0.98772587,0.999986386,0.997561041,0.990791959,0.993189392,0.83732749
0.9,0.917662323,0.248542565,0.698293673,0.993188268,0.526409157,0.933085331,0.953301316,0.424636247,0.967909321,0.99463784,0.997217259,0.912179614,0.95653533,0.964024572,0.999352474,0.972159715,0.984989981,0.990980971,0.852172205,0.820178275,0.649758192,0.766426887,0.512800347,0.931670737,0.980903281,0.984808656,0.619466834,0.984534404,0.954137525,0.979150695,0.943686882,0.76683599,0.926431763,0.986634364,0.985550075,0.986309259,0.999302047,0.929049636,0.981233146,0.968406427,0.965171337
0.501936018,0.636335611,0.66219461,0.705853572,0.978962065,0.980439374,0.854950502,0.63524051,0.994356161,0.854247808,0.80361572,0.801817068,0.999594868,0.76483196,0.741127418,0.998577128,0.899547818,0.999242205,0.983097684,0.841999484,0.761450454,0.995324643,0.959703731,0.955035309,0.937873384,0.999269956,0.963277386,0.981970434,0.896214829,0.947515553,0.80812876,0.9753918,0.876825198,0.95447784,0.915096029,0.936570218,0.524562927,0.76008539,0.743392885,0.748463617,0.967761825,0.993863572
